ano,id_fonte_recurso,ds_fonte_recurso,total_meses,vl_inicial_sum,vl_empenhado_sum,vl_atualizado_sum,vl_liquidado_sum,vl_pago_sum
2013,0106,COMP.FINANCEIRA XISTO BETUMINOSO E GÁS,11,9191560.0000,10590601.3800,12349349.4900,10531203.4600,10531203.4600
2013,0103,CONTRIB. DE INTER. NO DOMÍNIO ECON. - CIDE,8,0.0000,800493.1800,802265.4300,673936.7800,673936.7800
2013,0110,CONVÊNIOS,12,581948461.0000,593244348.6600,960347652.8100,420848812.0900,418543862.7700
2013,0114,COTA-PARTE DA COMPENS. FINANC. DE REC. HIDR,12,17296383.0000,7524311.2800,17296383.0000,5803412.2300,5793395.1000
2013,0107,COTA-PARTE DO SALÁRIO EDUCAÇÃO-ESTADUAL,12,13119991.0000,11898879.9400,16921565.1100,11334081.4900,11261946.1200
2013,0108,COTA-PARTE DO SALÁRIO EDUCAÇÃO-FEDERAL,9,20532409.0000,5522425.4900,21354857.6900,4614293.3000,4614293.3000
2013,0109,COTA-PARTE XISTO BETUMINOSO E GÁS,12,34897801.0000,31872153.7000,36559539.0000,28805375.7800,28393557.3700
2013,0143,DOACOES DE ENTIDADES INTERNACIONAIS,7,220000.0000,926700.0000,934560.0000,926700.0000,926700.0000
2013,0146,DOACOES DE ENTIDADES NACIONAIS,9,3782672.0000,7398677.9600,10830443.8700,6651507.9600,6651507.9600
2013,0113,FUNDEB,12,566427246.0000,574121816.7700,615597254.6000,549534801.3000,547496913.7800
2013,0115,FUNDO DE COMBATE E PREVENÇÃO DE INCÊNDIO,12,601284.0000,724392.9300,2276609.3100,409678.8800,365325.6800
2013,0122,FUNDO ESTADUAL DE DEFESA CIVIL,1,400000.0000,0.0000,400000.0000,0.0000,0.0000
2013,0116,FUNDO EST. DE ERRADICAÇÃO DA POBREZA - FECOEP,12,57261191.0000,53858527.0800,91943133.6000,48903205.0000,48870543.8000
2013,0150,OPERAÇÃO DE CRÉDITO EXTERNA BID-PROCONFIS,1,0.0000,0.0000,278239435.0000,0.0000,0.0000
2013,0152,OPERAÇÃO DE CRÉDITO INTERNA -BNDES/PROINVEST,10,0.0000,342750671.7900,555754704.0000,276742044.2400,268382006.2400
2013,0153,OPERAÇÃO DE CRÉDITO INTERNA - REEMBOLSO PROINVEST/FINISA,3,0.0000,56019455.5200,56195999.6300,56019455.5200,56019455.5200
2013,0148,OPERAÇÕES DE CRÉDITO EXTERNAS,11,2942000.0000,2451494.0000,10968750.3100,2364174.0200,2364174.0200
2013,0149,OPERAÇÕES DE CRÉDITO EXTERNAS-BIRD/PREPI,1,138008000.0000,0.0000,138008000.0000,0.0000,0.0000
2013,0151,OPERAÇÕES DE CRÉDITO INTERNAS,1,9327650.0000,0.0000,9327650.0000,0.0000,0.0000
2013,0291,RECURSOS DA ADMINISTRAÇÃO INDIRETA,12,198345891.0000,167813471.2000,258160258.8200,154492262.3100,150268661.6800
2013,0141,RECURSOS DESTINADOS A AÇÕES E SERVIÇOS DE SAÚDE,12,640488674.0000,632820574.9200,640488674.0000,600506849.1200,586047538.4700
2013,0100,RECURSOS ORDINÁRIOS,12,4562277586.0000,4330033168.2400,4651245084.8300,4279553256.8600,4208351291.7600
2013,0121,SERVIÇOS PRE-HOSPITALARES - CBM,9,62844.0000,59825.0000,107844.0000,45843.0000,45843.0000
2013,0112,TAXA DE PREVENÇÃO A INCÊNDIO,9,1382568.0000,670399.2500,2855822.0000,436265.1700,436265.1700
2013,0120,TRANSF. DE REC. DO SIST. ÚNICO DE SAÚDE - SUS,12,294002192.0000,231622438.5200,298803042.0000,177620844.4200,161706106.3100
2013,0123,TRANSFERÊNCIA OBRIGATÓRIA DA UNIÃO,11,0.0000,30183164.2400,33241994.9100,28467491.2500,28231990.4800
