ano,id_fonte_recurso,ds_fonte_recurso,total_meses,vl_inicial_sum,vl_empenhado_sum,vl_atualizado_sum,vl_liquidado_sum,vl_pago_sum
2014,0106,COMP.FINANCEIRA XISTO BETUMINOSO E GÁS,11,11769120.0000,38771749.0300,42367752.0500,38771749.0300,38771749.0300
2014,0103,CONTRIB. DE INTER. NO DOMÍNIO ECON. - CIDE,11,2152014.0000,1368483.0500,2152014.0000,1368483.0500,1368483.0500
2014,0110,CONVÊNIOS,12,493598568.0000,756535833.1400,1111226476.8300,742373804.2500,626140923.1700
2014,0114,COTA-PARTE DA COMPENS. FINANC. DE REC. HIDR,12,17758926.0000,12612701.2200,18031638.8100,12612701.2200,12612701.2200
2014,0107,COTA-PARTE DO SALÁRIO EDUCAÇÃO-ESTADUAL,12,15530000.0000,17408580.7600,19543477.4600,15694243.7100,15669752.6200
2014,0108,COTA-PARTE DO SALÁRIO EDUCAÇÃO-FEDERAL,7,21861692.0000,4555509.9100,21861692.0000,4323917.6000,4323917.6000
2014,0109,COTA-PARTE XISTO BETUMINOSO E GÁS,12,34808126.0000,31519414.1900,37411943.7100,31519414.1900,29317944.5600
2014,0143,DOACOES DE ENTIDADES INTERNACIONAIS,1,50000.0000,0.0000,50000.0000,0.0000,0.0000
2014,0146,DOACOES DE ENTIDADES NACIONAIS,9,0.0000,3501789.7800,3520596.2900,3501789.7800,3501789.7800
2014,0113,FUNDEB,12,638484859.0000,614454848.9500,639149859.3700,607114323.3900,597403139.8900
2014,0115,FUNDO DE COMBATE E PREVENÇÃO DE INCÊNDIO,12,1187860.0000,460872.5200,2670427.7800,460872.5200,422356.3900
2014,0122,FUNDO ESTADUAL DE DEFESA CIVIL,1,400000.0000,0.0000,400000.0000,0.0000,0.0000
2014,0116,FUNDO EST. DE ERRADICAÇÃO DA POBREZA - FECOEP,12,69228252.0000,82637317.6400,109762887.2800,82637317.6400,80709875.2500
2014,0150,OPERAÇÃO DE CRÉDITO EXTERNA BID-PROCONFIS,11,481942011.0000,512600053.7600,593512999.2900,500582088.4700,481024961.6800
2014,0152,OPERAÇÃO DE CRÉDITO INTERNA -BNDES/PROINVEST,11,208786031.0000,192487761.1400,216610932.0900,190997043.6200,184837861.0300
2014,0148,OPERAÇÕES DE CRÉDITO EXTERNAS,10,2942000.0000,7114684.5600,11819151.2500,7114684.5600,7114684.5600
2014,0149,OPERAÇÕES DE CRÉDITO EXTERNAS-BIRD/PREPI,1,235974000.0000,0.0000,235974000.0000,0.0000,0.0000
2014,0151,OPERAÇÕES DE CRÉDITO INTERNAS,1,2058000.0000,0.0000,2058000.0000,0.0000,0.0000
2014,0291,RECURSOS DA ADMINISTRAÇÃO INDIRETA,12,217458120.0000,196543889.5000,299622047.6100,191196881.1100,186235589.5100
2014,0141,RECURSOS DESTINADOS A AÇÕES E SERVIÇOS DE SAÚDE,12,688499798.0000,685621281.4300,688898798.2200,683922368.9000,672992420.4600
2014,0100,RECURSOS ORDINÁRIOS,12,4908850377.0000,4746208393.8800,4916706716.2800,4738367438.8800,4644253250.7200
2014,0121,SERVIÇOS PRE-HOSPITALARES - CBM,8,436414.0000,45357.5400,436414.0000,45357.5400,28470.6400
2014,0112,TAXA DE PREVENÇÃO A INCÊNDIO,11,1382568.0000,1266597.9200,5359657.3100,1266597.9200,390529.0000
2014,0120,TRANSF. DE REC. DO SIST. ÚNICO DE SAÚDE - SUS,12,247045389.0000,229106933.0100,247038789.4800,207508562.1000,186178131.0800
2014,0123,TRANSFERÊNCIA OBRIGATÓRIA DA UNIÃO,12,5000000.0000,19865387.6000,20038002.5500,19865387.6000,19286746.1500
