ano,id_fonte_recurso,ds_fonte_recurso,total_meses,vl_inicial_sum,vl_empenhado_sum,vl_atualizado_sum,vl_liquidado_sum,vl_pago_sum
2012,0106,COMP.FINANCEIRA XISTO BETUMINOSO E GÁS,12,9785522.0000,604289.3800,9647642.0000,603012.2200,540132.2200
2012,0103,CONTRIB. DE INTER. NO DOMÍNIO ECON. - CIDE,11,32095350.0000,16329254.8500,32095350.0000,16265265.3500,16265265.3500
2012,0110,CONVÊNIOS,12,540964842.0000,583798298.4000,952483087.3400,362741239.7700,361651747.4800
2012,0114,COTA-PARTE DA COMPENS. FINANC. DE REC. HIDR,12,17827459.0000,19637522.2400,20706504.8900,13251252.1800,13251002.1800
2012,0107,COTA-PARTE DO SALÁRIO EDUCAÇÃO-ESTADUAL,12,12314350.0000,19079684.5200,19738773.3100,15171130.4600,14061638.6300
2012,0108,COTA-PARTE DO SALÁRIO EDUCAÇÃO-FEDERAL,8,19370197.0000,7900792.5000,25757697.0000,6082821.9000,6082821.9000
2012,0109,COTA-PARTE XISTO BETUMINOSO E GÁS,12,28383634.0000,28366587.8600,29487480.8300,26371753.4800,26314221.8800
2012,0143,DOACOES DE ENTIDADES INTERNACIONAIS,1,0.0000,0.0000,220000.0000,0.0000,0.0000
2012,0146,DOACOES DE ENTIDADES NACIONAIS,3,0.0000,3478442.1900,11211000.0000,2060352.1900,2060352.1900
2012,0113,FUNDEB,12,543289793.0000,582961453.9900,628833799.9200,503716213.9500,497433916.6700
2012,0115,FUNDO DE COMBATE E PREVENÇÃO DE INCÊNDIO,12,660000.0000,324742.3100,1250003.1600,154522.3900,152822.3900
2012,0122,FUNDO ESTADUAL DE DEFESA CIVIL,3,400000.0000,682908.4800,1777914.2800,682908.4800,682908.4800
2012,0116,FUNDO EST. DE ERRADICAÇÃO DA POBREZA - FECOEP,12,57146208.0000,60600782.5500,78671599.0200,49253482.5300,46564434.6000
2012,0152,OPERAÇÃO DE CRÉDITO INTERNA -BNDES/PROINVEST,1,0.0000,0.0000,163737211.0000,0.0000,0.0000
2012,0148,OPERAÇÕES DE CRÉDITO EXTERNAS,12,1073703.0000,19733776.8200,24049120.6900,19141717.3800,19134994.2000
2012,0151,OPERAÇÕES DE CRÉDITO INTERNAS,5,965000.0000,17952268.9200,21417268.9200,17952268.9200,17952268.9200
2012,0291,RECURSOS DA ADMINISTRAÇÃO INDIRETA,12,207636203.0000,218685822.1000,282525465.9400,189118411.1400,185511842.2700
2012,0100,RECURSOS ORDINÁRIOS,12,4922311031.0000,4731387688.6200,5023500024.3500,4686092334.4300,4612569291.8800
2012,0121,SERVIÇOS PRE-HOSPITALARES - CBM,4,60000.0000,9432.0000,60000.0000,9432.0000,9432.0000
2012,0112,TAXA DE PREVENÇÃO A INCÊNDIO,7,1320000.0000,1510677.9700,2865194.0000,130211.9700,119947.6500
2012,0120,TRANSF. DE REC. DO SIST. ÚNICO DE SAÚDE - SUS,12,223481000.0000,229445350.3600,238091114.0000,189414657.6200,165304597.8100
2012,0123,TRANSFERÊNCIA OBRIGATÓRIA DA UNIÃO,1,0.0000,4590624.4000,11592105.2500,4590624.4000,4590624.4000
