ano,id_fonte_recurso,ds_fonte_recurso,total_meses,vl_inicial_sum,vl_empenhado_sum,vl_atualizado_sum,vl_liquidado_sum,vl_pago_sum
2016,0106,COMP.FINANCEIRA XISTO BETUMINOSO E GÁS,9,8773801.0000,811501.0000,811501.0000,96678.1500,96678.1500
2016,0103,CONTRIB. DE INTER. NO DOMÍNIO ECON. - CIDE,8,22500000.0000,16031843.5900,22500000.0000,14345744.1300,14345744.1300
2016,0110,CONVÊNIOS,10,569449904.0000,319049274.7000,634615454.9100,275035946.9500,271995557.6800
2016,0114,COTA-PARTE DA COMPENS. FINANC. DE REC. HIDR,10,8124400.0000,5118304.5700,8653454.5100,4961489.7400,4961489.7400
2016,0107,COTA-PARTE DO SALÁRIO EDUCAÇÃO-ESTADUAL,10,17858723.0000,15884243.0000,23534299.9300,5012880.7300,5012880.7300
2016,0108,COTA-PARTE DO SALÁRIO EDUCAÇÃO-FEDERAL,8,24909862.0000,3393853.0700,24909862.0000,3391816.0700,3391816.0700
2016,0109,COTA-PARTE XISTO BETUMINOSO E GÁS,9,29385406.0000,18177795.4200,44363280.5400,17797443.7900,17757883.7900
2016,0158,DEPÓSITOS JUDICIAIS,4,100000000.0000,0.0000,100000000.0000,0.0000,0.0000
2016,0143,DOACOES DE ENTIDADES INTERNACIONAIS,4,7000.0000,0.0000,7000.0000,0.0000,0.0000
2016,0113,FUNDEB,10,691237200.0000,405338420.4400,694202147.1800,388128518.6700,388128518.6700
2016,0115,FUNDO DE COMBATE E PREVENÇÃO DE INCÊNDIO,8,1300000.0000,3843439.4000,5394968.6400,932345.0000,920000.0000
2016,0122,FUNDO ESTADUAL DE DEFESA CIVIL,8,400000.0000,936210.7800,1510000.0000,936210.7800,936210.7800
2016,0116,FUNDO EST. DE ERRADICAÇÃO DA POBREZA - FECOEP,10,70123815.0000,36118525.2700,97243897.5700,34809930.6600,34594901.1600
2016,0202,FUNDO PREVIDENCIÁRIO,6,0.0000,921914582.4300,1296070572.4600,921762325.3900,921762325.3900
2016,0150,OPERAÇÃO DE CRÉDITO EXTERNA BID-PROCONFIS,3,0.0000,12426247.9400,12746403.0800,10302204.5100,10302204.5100
2016,0152,OPERAÇÃO DE CRÉDITO INTERNA -BNDES/PROINVEST,4,0.0000,6246084.3800,9419365.6300,4113415.4700,3875398.6500
2016,0148,OPERAÇÕES DE CRÉDITO EXTERNAS,6,10124000.0000,13148.8900,10628677.8900,13148.8900,13148.8900
2016,0151,OPERAÇÕES DE CRÉDITO INTERNAS,4,7000000.0000,0.0000,7000000.0000,0.0000,0.0000
2016,0291,RECURSOS DA ADMINISTRAÇÃO INDIRETA,10,274204944.0000,135415389.5100,308413828.2100,112072850.0100,111125497.8500
2016,0141,RECURSOS DESTINADOS A AÇÕES E SERVIÇOS DE SAÚDE,10,754733207.0000,581643888.1100,747550013.1800,558099864.8000,539255240.9800
2016,0100,RECURSOS ORDINÁRIOS,10,5562903619.0000,3921330186.0600,5559033274.9400,3524164703.8600,3519725620.3100
2016,0121,SERVIÇOS PRE-HOSPITALARES - CBM,8,500000.0000,105677.0700,626153.8400,0.0000,0.0000
2016,0112,TAXA DE PREVENÇÃO A INCÊNDIO,7,1300000.0000,216275.5200,3934831.2700,0.0000,0.0000
2016,0120,TRANSF. DE REC. DO SIST. ÚNICO DE SAÚDE - SUS,10,259322874.0000,151729929.9900,267475565.8100,141365078.7600,138571445.3000
2016,0123,TRANSFERÊNCIA OBRIGATÓRIA DA UNIÃO,8,5000000.0000,5233508.3600,5398302.1700,5217155.1600,5217155.0600
